Source,Target,Label,ID,Type,Weight
21,[],'bol',,,
7,[],'bol',,,
4,[],'bol',,,
12,[],'bol',,,
9,[],'bol',,,
16,[],'bol',,,
22,[],'bol',,,
23,[],'bol',,,
10,[],'bol',,,
3,[],'bol',,,
1,[],'bol',,,
6,[],'bol',,,
5,[],'bol',,,
20,[],'bol',,,
14,[],'bol',,,
13,[],'bol',,,
2,[],'bol',,,
8,[],'bol',,,
17,[],'bol',,,
15,[],'bol',,,
11,[],'bol',,,
19,[],'bol',,,
18,[],'bol',,,
24,[],'bol',,,
21,76,'vibhaag',,,
7,76,'vibhaag',,,
4,76,'vibhaag',,,
12,76,'vibhaag',,,
9,76,'vibhaag',,,
16,76,'vibhaag',,,
22,76,'vibhaag',,,
23,76,'vibhaag',,,
10,76,'vibhaag',,,
3,[],'vibhaag',,,
1,76,'vibhaag',,,
6,76,'vibhaag',,,
5,76,'vibhaag',,,
20,76,'vibhaag',,,
14,76,'vibhaag',,,
13,76,'vibhaag',,,
2,76,'vibhaag',,,
8,76,'vibhaag',,,
17,76,'vibhaag',,,
15,76,'vibhaag',,,
11,76,'vibhaag',,,
19,76,'vibhaag',,,
18,76,'vibhaag',,,
24,76,'vibhaag',,,
21,80,'vibhaag',,,
7,78,'vibhaag',,,
4,79,'vibhaag',,,
12,80,'vibhaag',,,
9,78,'vibhaag',,,
16,79,'vibhaag',,,
22,79,'vibhaag',,,
23,80,'vibhaag',,,
10,79,'vibhaag',,,
3,[],'vibhaag',,,
1,78,'vibhaag',,,
6,81,'vibhaag',,,
5,79,'vibhaag',,,
20,78,'vibhaag',,,
14,80,'vibhaag',,,
13,78,'vibhaag',,,
2,78,'vibhaag',,,
8,80,'vibhaag',,,
17,79,'vibhaag',,,
15,79,'vibhaag',,,
11,80,'vibhaag',,,
19,80,'vibhaag',,,
18,82,'vibhaag',,,
24,77,'vibhaag',,,
21,84,'vibhaag',,,
7,80,'vibhaag',,,
4,[],'vibhaag',,,
12,[],'vibhaag',,,
9,81,'vibhaag',,,
16,[],'vibhaag',,,
22,81,'vibhaag',,,
23,84,'vibhaag',,,
10,83,'vibhaag',,,
3,[],'vibhaag',,,
1,80,'vibhaag',,,
6,83,'vibhaag',,,
5,83,'vibhaag',,,
20,80,'vibhaag',,,
14,84,'vibhaag',,,
13,80,'vibhaag',,,
2,80,'vibhaag',,,
8,84,'vibhaag',,,
17,83,'vibhaag',,,
15,81,'vibhaag',,,
11,[],'vibhaag',,,
19,82,'vibhaag',,,
18,88,'vibhaag',,,
24,79,'vibhaag',,,
21,88,'vibhaag',,,
7,82,'vibhaag',,,
4,[],'vibhaag',,,
12,[],'vibhaag',,,
9,83,'vibhaag',,,
16,[],'vibhaag',,,
22,[],'vibhaag',,,
23,88,'vibhaag',,,
10,86,'vibhaag',,,
3,[],'vibhaag',,,
1,82,'vibhaag',,,
6,86,'vibhaag',,,
5,86,'vibhaag',,,
20,82,'vibhaag',,,
14,88,'vibhaag',,,
13,82,'vibhaag',,,
2,82,'vibhaag',,,
8,88,'vibhaag',,,
17,87,'vibhaag',,,
15,[],'vibhaag',,,
11,[],'vibhaag',,,
19,[],'vibhaag',,,
18,90,'vibhaag',,,
24,81,'vibhaag',,,
21,[],'vibhaag',,,
7,84,'vibhaag',,,
4,[],'vibhaag',,,
12,[],'vibhaag',,,
9,[],'vibhaag',,,
16,[],'vibhaag',,,
22,[],'vibhaag',,,
23,[],'vibhaag',,,
10,[],'vibhaag',,,
3,[],'vibhaag',,,
1,84,'vibhaag',,,
6,[],'vibhaag',,,
